"model","train_seed","episode_index","eval_seed","episodic_return","episodic_length","collided","capped","terminated","truncated","scenario","run_index","run_id"
"deep_sets_mean_max","34567","32","1031","105.95449588921971","128","1","0","1","0","stay_best","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","33","1032","38.784976800533975","55","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","34","1033","30.939875891370477","48","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","35","1034","20.889780942979232","36","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","36","1035","165.57117522719463","195","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","37","1036","22.329966362148202","37","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","38","1037","26.098715383781126","42","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","39","1038","23.39887939590225","39","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","40","1039","34.65100155715045","47","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","41","1040","182.33886522886513","200","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","42","1041","269.1469924104328","302","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","43","1042","160.68114984829535","176","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","44","1043","86.92963368353145","109","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","45","1044","36.0863453572516","43","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","46","1045","199.78244396946528","223","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","47","1046","34.990650077511475","50","1","0","1","0","overtake_blocked","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","48","1047","324.36953799466056","367","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","49","1048","58.26235704108648","78","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","34567","50","1049","173.90222655404793","198","1","0","1","0","overtake_easy","3","meanmax_continuous_stage2_lite_100k_seed34567_20260507_104513"
"deep_sets_mean_max","45678","1","1000","439.6091116349379","525","0","0","0","1","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","2","1001","173.09524421182314","215","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","3","1002","28.50439617435219","47","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
"deep_sets_mean_max","45678","4","1003","44.99686607868768","53","1","0","1","0","overtake_easy","4","meanmax_continuous_stage2_lite_100k_seed45678_20260507_104515"
