"model","source_file","iteration","timesteps_so_far","avg_episodic_length","avg_episodic_return","avg_loss","iteration_seconds"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","5","20533","30.649254","22.431274","-0.000966","39.54"
"deep_sets_mean_max","deep_sets_mean_max_01_curriculum_stage_1_open_lane_training.csv","6","24651","30.731343","22.771341","-0.000182","40.19"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","1","4103","27.536913","18.794395","-0.000529","42.97"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","2","8204","29.292857","20.158743","-0.000431","42.74"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","3","12307","30.619403","21.231615","-0.000438","43.18"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","4","16459","31.938462","22.330298","-0.000515","44.28"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","5","20579","28.811189","19.847222","-0.00053","44.14"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","6","24677","36.918919","26.596779","-0.000404","43.89"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","7","28775","30.355556","20.861595","-0.000641","42.7"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","8","32874","35.336207","25.231301","-0.000464","42.34"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","9","37003","33.844262","24.083578","-0.000286","42.95"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","10","41128","42.96875","31.765714","-0.000259","42.9"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","11","45225","32.776","23.32354","-0.000291","42.71"
"deep_sets_mean_max","deep_sets_mean_max_02_curriculum_stage_2_easy_overtake_training.csv","12","49335","35.73913","25.699459","-0.000338","43.37"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","1","4160","36.491228","26.030807","-0.000433","45.75"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","2","8269","38.046296","27.093485","-0.000257","45.3"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","3","12368","38.308411","27.294755","-0.000232","45.78"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","4","16502","38.635514","27.109861","-0.000363","46.33"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","5","20611","38.764151","27.625669","-0.000678","45.63"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","6","24744","42.173469","30.785697","-0.000278","45.52"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","7","28857","42.84375","30.459763","-0.000697","46.09"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","8","32957","39.423077","27.635438","-0.000217","44.64"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","9","37072","40.343137","28.178925","-0.000651","45.15"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","10","41180","42.350515","30.316439","-0.000327","45.15"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","11","45336","45.173913","32.428055","-0.000111","45.79"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","12","49531","47.670455","34.807689","-0.000401","46.47"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","13","53650","46.280899","32.723724","-0.000707","46.19"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","14","57847","47.693182","34.514103","0.000274","47.14"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","15","62006","47.261364","34.147143","-0.000458","45.94"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","16","66154","48.8","35.670738","-0.00026","45.86"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","17","70298","54.526316","40.555849","-0.000129","45.57"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","18","74414","50.195122","36.450848","-0.000159","45.41"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","19","78605","55.144737","41.245875","-0.00059","46.59"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","20","82701","49.95122","36.481248","-0.000843","44.85"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","21","86831","56.575342","42.649981","-0.000863","44.83"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","22","90950","52.139241","37.910157","-0.000927","45.26"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","23","95082","49.783133","35.969598","-0.000595","45.41"
"deep_sets_mean_max","deep_sets_mean_max_03_curriculum_stage_3_mixed_traffic_training.csv","24","99187","65.15873","47.963136","-0.000237","45.54"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","1","4175","67.33871","48.377013","0.000114","56.33"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","2","8309","44.451613","29.77242","-0.000468","54.06"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","3","12413","50.666667","34.910925","-8.8e-05","54.19"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","4","16531","48.447059","33.485036","-0.000576","53.78"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","5","20662","64.546875","46.448584","-0.000681","54.73"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","6","24805","50.52439","34.781572","0.000332","53.56"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","7","28922","52.782051","36.660616","-0.000455","54.7"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","8","33136","54.727273","38.849514","-0.001042","56.57"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","9","37375","67.285714","49.200351","-0.000808","56.57"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","10","41484","47.229885","32.394405","0.000186","55.35"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","11","45687","67.790323","49.468562","-0.000178","55.51"
"deep_sets_mean_max","deep_sets_mean_max_04_curriculum_stage_4_dense_traffic_training.csv","12","49929","58.916667","42.894556","-0.000405","57.35"
"self_attention","01_curriculum_stage_1_open_lane_training.csv","1","4102","12.69969","7.65464","-0.007506","44.14"
