lambda_u,model_label,display_name,train_seed,episode_index,eval_seed,episodic_return,episodic_length,collided,capped,terminated,truncated,scenario
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,35,1034,24.635561490681003,36,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,36,1035,46.35056695610439,57,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,37,1036,16.976173644945124,33,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,38,1037,27.16678226230836,41,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,39,1038,22.13272597355454,34,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,40,1039,29.212906037752216,44,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,41,1040,40.8798303739599,49,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,42,1041,495.7616691780853,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,43,1042,332.8388347446305,415,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,44,1043,43.507310539666804,53,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,45,1044,48.763501640286215,63,1,0,1,0,stay_best
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,46,1045,499.0207085029734,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,47,1046,118.79252907857037,147,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,48,1047,500.9616557401228,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,49,1048,387.0383013146679,470,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,12345,50,1049,34.70618293390602,44,1,0,1,0,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,1,1000,498.37670641803544,600,0,0,0,1,overtake_blocked
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,2,1001,497.7787648940073,600,0,0,0,1,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,3,1002,22.466816669863086,44,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,4,1003,36.79382092899068,47,1,0,1,0,overtake_easy
0.05,uncertainty_penalty_lambda_0_05,Uncertainty penalty PPO lambda_u=0.05,23456,5,1004,498.93766535646887,600,0,0,0,1,overtake_easy
