model_label,display_name,train_seed,episode_index,eval_seed,start_lane,episodic_return,episodic_length,collided,capped,terminated,truncated,eval_action_mode,safeguard_threshold,mc_samples,avg_uncertainty,max_uncertainty,activation_count,activation_rate
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,20,1019,1,500.6380065427654,600,0,0,0,1,safeguarded,0.001,5,0.001961709817339094,0.015768934041261673,409,0.6816666666666666
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,21,1020,2,500.55870466488204,600,0,0,0,1,safeguarded,0.001,5,0.0020973819528020007,0.012900082394480705,431,0.7183333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,22,1021,0,500.5100246144641,600,0,0,0,1,safeguarded,0.001,5,0.0019427044001834777,0.013436559587717056,411,0.685
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,23,1022,2,500.6021763455106,600,0,0,0,1,safeguarded,0.001,5,0.0019566283336522852,0.010049429722130299,399,0.665
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,24,1023,0,500.5052909867692,600,0,0,0,1,safeguarded,0.001,5,0.0019559704436930285,0.00900912843644619,433,0.7216666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,25,1024,1,500.6364281536643,600,0,0,0,1,safeguarded,0.001,5,0.0019458380504238449,0.010073334909975529,430,0.7166666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,26,1025,2,500.590145661347,600,0,0,0,1,safeguarded,0.001,5,0.0021403571421190768,0.009806551039218903,435,0.725
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,27,1026,1,500.6375297326188,600,0,0,0,1,safeguarded,0.001,5,0.0021177725858675936,0.012063109315931797,430,0.7166666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,28,1027,1,500.6389702959846,600,0,0,0,1,safeguarded,0.001,5,0.001995122446739212,0.010576668195426464,413,0.6883333333333334
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,29,1028,1,500.67012001213385,600,0,0,0,1,safeguarded,0.001,5,0.00214033180505794,0.01393850427120924,424,0.7066666666666667
uncertainty2_self_attention_threshold,Uncertainty2 self-attention threshold,34567,30,1029,1,500.70317329305436,600,0,0,0,1,safeguarded,0.001,5,0.001988227615923582,0.014273199252784252,433,0.7216666666666667
